,YelpID,Name,Latitude,Longitude,Address,Rating,Reviews,name_lower,FacilityCategory,BusinessName,FullAddress,AddrNum,StreetName,StreetType,PostDir,City,ZipCode,YearOfInspection,InspectionScore,business_lower
225,CcnIJhp8T1s18EiiOc3q4w,Naviya's Thai Brasserie,44.9247618,-93.3150145,"2812 W 43rd St, Minneapolis 55410",3.5,166,naviya's thai brasserie,RESTAURANT,NAVIYA'S THAI BRASSERIE,2812 43RD ST W,2812.0,43RD,ST,W,Minneapolis,55410.0,2018,100,naviya's thai brasserie
226,34MfK_IGLKnDju2cyRWUhw,A Slice of New York,44.9589542099465,-93.2777589606123,"2407 Nicollet Ave, Minneapolis 55404",4.0,116,a slice of new york,RESTAURANT,A SLICE OF NEW YORK,2407 NICOLLET AVE,2407.0,NICOLLET,AVE,,Minneapolis,55404.0,2019,98,a slice of new york
227,JBeHhSwmqLbE_IFi6wBBzw,Trio Plant-based,44.9483994251992,-93.2871023728022,"610 W Lake St, Minneapolis 55408",4.0,108,trio plant-based,RESTAURANT,TRIO PLANT-BASED,610 LAKE ST W,610.0,LAKE,ST,W,Minneapolis,55408.0,2019,72,trio plant-based
228,S3MP4keJWfEjK2PX52Mx7A,Tibet Kitchen Bar & Restaurant,44.964241,-93.2775192,"1833 Nicollet Ave S, Minneapolis 55403",3.5,128,tibet kitchen bar & restaurant,RESTAURANT,TIBET KITCHEN BAR & RESTAURANT,1833 NICOLLET AVE,1833.0,NICOLLET,AVE,,Minneapolis,55403.0,2019,100,tibet kitchen bar & restaurant
229,PHy5DdQoOMTxu4sv51UbhQ,Ted Cook's 19th Hole BBQ,44.9342346191406,-93.2313690185547,"2814 E 38th St, Minneapolis 55406",4.0,132,ted cook's 19th hole bbq,RESTAURANT,TED COOK'S 19TH HOLE BBQ,2814 38TH ST E,2814.0,38TH,ST,E,Minneapolis,55406.0,2019,100,ted cook's 19th hole bbq
230,AcBpqjNxzxOcEJraH9XK5A,The Howe Daily Kitchen & Bar,44.936,-93.224716,"3675 Minnehaha Ave S, Minneapolis 55406",3.5,217,the howe daily kitchen & bar,RESTAURANT,THE HOWE DAILY KITCHEN & BAR,3675 MINNEHAHA AVE,3675.0,MINNEHAHA,AVE,,Minneapolis,55406.0,2019,94,the howe daily kitchen & bar
231,yl5aHpf3167UUVBZNIjSBQ,Gigi's Cafe,44.9378622987945,-93.2904368548543,"824 W 36th St, Minneapolis 55408",3.5,150,gigi's cafe,RESTAURANT,GIGI'S CAFE,824 36TH ST W,824.0,36TH,ST,W,Minneapolis,55408.0,2019,98,gigi's cafe
232,XGXI1C69atE2FSydofakAw,Sip Coffeebar,44.9991149902344,-93.2717056274414,"34 13th Ave NE, Minneapolis 55413",4.0,69,sip coffeebar,RESTAURANT,SIP COFFEEBAR,34 13TH AVE NE #101,34.0,13TH,AVE,NE,Minneapolis,55413.0,2019,98,sip coffeebar
233,0QnzFl4ZqWKottbnjXFjJg,Red Dragon,44.96117,-93.28843,"2116 Lyndale Ave S, Minneapolis 55405",3.5,140,red dragon,RESTAURANT,RED DRAGON,2116 LYNDALE AVE S,2116.0,LYNDALE,AVE,S,Minneapolis,55405.0,2020,98,red dragon
234,A0fmKkiSVDxmb0tuKE61hg,Arezzo Ristorante,44.9108599321842,-93.3288833588047,"5057 France Ave S, Minneapolis 55410",3.5,141,arezzo ristorante,RESTAURANT,AREZZO RISTORANTE,5057 FRANCE AVE S,5057.0,FRANCE,AVE,S,Minneapolis,55410.0,2018,100,arezzo ristorante
235,Ff6_8vLWtPcQNVCWU84YRA,Grumpy's Bar,45.01016,-93.26191,"2200 4th St NE, Minneapolis 55418",4.5,63,grumpy's bar,RESTAURANT,GRUMPY'S BAR,2200 4TH ST NE,2200.0,4TH,ST,NE,Minneapolis,55418.0,2018,94,grumpy's bar
236,rOkQe_PZfpi9qCC9W9DZtQ,SotaRol,44.9122448,-93.3273972,"5005 Ewing Ave S, Minneapolis 55410",3.5,149,sotarol,RESTAURANT,SOTAROL,5005 EWING AVE S,5005.0,EWING,AVE,S,Minneapolis,55410.0,2018,96,sotarol
237,rOkQe_PZfpi9qCC9W9DZtQ,SotaRol,44.9122448,-93.3273972,"5005 Ewing Ave S, Minneapolis 55410",3.5,149,sotarol,RESTAURANT,SOTAROL,309 OAK ST SE,309.0,OAK,ST,SE,Minneapolis,55414.0,2019,100,sotarol
238,pdoKdMJe20wU5BSx_v4e2w,SotaRol,44.9488321871488,-93.296850786015,"2935 Girard Ave S, Minneapolis 55408",3.5,27,sotarol,RESTAURANT,SOTAROL,5005 EWING AVE S,5005.0,EWING,AVE,S,Minneapolis,55410.0,2018,96,sotarol
239,pdoKdMJe20wU5BSx_v4e2w,SotaRol,44.9488321871488,-93.296850786015,"2935 Girard Ave S, Minneapolis 55408",3.5,27,sotarol,RESTAURANT,SOTAROL,309 OAK ST SE,309.0,OAK,ST,SE,Minneapolis,55414.0,2019,100,sotarol
